id,nombre_cientifico,nombre_comun,grupo,descripcion_breve,nicho_trofico,estrato_agua,temp_min_c,temp_max_c,ph_min,ph_max,od_min_mg_l,salinidad_tol,densidad_siembra_ind_m3,peso_cosecha_g,ciclo_meses,fca,alimento,rendimiento_rel,valor_mercado_usd_kg,verificacion,fuente,notas
carpa_plateada,Hypophthalmichthys molitrix,carpa plateada / silver carp,carpa,"Carpa filtradora de fitoplancton; nada en la columna alta, muy usada como componente de superficie en policultivo chino.",filtrador_plancton,columna,6,32,6.5,9.0,3.0,dulce,0.4,1200,10,2.2,fitoplancton; detrito fino,2,2.0,V,FAO-carp; TheFishSite-silver,Optimo 25-32 C; alimentacion cesa <15 C. Densidad como componente de policultivo.
carpa_cabezona,Hypophthalmichthys nobilis,carpa cabezona / bighead carp,carpa,Filtradora de zooplancton; ocupa columna media. Complementa a la plateada (fito vs zoo).,filtrador_plancton,columna,6,32,6.5,9.0,3.0,dulce,0.3,1500,11,2.3,zooplancton; fitoplancton grande,2,2.0,V,FAO-carp; FishBase,Nicho zooplanctonico distinto de la plateada.
carpa_herbivora,Ctenopharyngodon idella,carpa herbivora / grass carp,carpa,Herbivora estricta; consume macrofitas y pastos. Sus heces fertilizan el estanque.,herbivoro,columna,10,30,6.5,9.0,3.0,dulce,0.4,1500,11,2.5,macrofitas; pasto; forraje verde,2,2.2,V,FWS-grasscarp; TheFishSite-grass,Prefiere 15-25 C; control de vegetacion. Heces reciclan nutrientes.
carpa_comun,Cyprinus carpio,carpa comun,carpa,"Omnivora bentonica; remueve y se alimenta en el fondo, aprovecha alimento no consumido.",omnivoro,fondo,3,35,6.5,9.0,3.0,dulce,0.5,1200,9,2.0,bentos; detrito; balanceado,2,1.8,V,FishBase-carp; Tandfonline-carp,Mejor 27-31 C; tolera 3-35 C. pH optimo 7.5-8.0.
carpa_negra,Mylopharyngodon piceus,carpa negra / black carp,carpa,Carnivora bentonica especializada en moluscos y caracoles; control biologico de hospederos.,carnivoro,fondo,10,35,6.5,9.0,3.0,dulce,0.2,2500,14,2.6,moluscos; caracoles; bivalvos,1,2.5,P,FAO-carp,Controla caracoles vectores. Datos de densidad estimados.
koi,Cyprinus carpio var. koi,koi,carpa,"Variedad ornamental de carpa comun; omnivora de fondo, valor estetico mas que carnico.",omnivoro,fondo,4,32,6.5,9.0,3.0,dulce,0.5,1500,12,2.2,balanceado; bentos,0,8.0,P,Aqua-fish-koi,"Valor ornamental; rendimiento carnico bajo. Precio unitario, no por kg."
catla,Catla catla,catla,carpa,Carpa india de superficie; filtra zooplancton en la capa superior. Crecimiento rapido.,filtrador_plancton,superficie,18,35,6.5,9.0,4.0,dulce,0.4,1200,10,2.2,zooplancton; fitoplancton,2,2.2,V,GlobalSeafood-IMC; Engormix-IMC,Componente de superficie del policultivo indio (4:2:3:1).
rohu,Labeo rohita,rohu,carpa,Carpa india de columna; herbivora/omnivora que ramonea perifiton y plantas blandas.,herbivoro,columna,18,35,6.5,9.0,4.0,dulce,0.6,1000,10,2.2,perifiton; fitobentos; balanceado,3,2.2,V,GlobalSeafood-IMC; Engormix-IMC,Comedor de columna; alta demanda en mercado del sur de Asia.
mrigal,Cirrhinus mrigala,mrigal,carpa,Carpa india de fondo; detritivora que limpia sedimentos y restos.,detritivoro,fondo,18,35,6.5,9.0,4.0,dulce,0.5,900,10,2.3,detrito; perifiton de fondo,2,2.0,V,GlobalSeafood-IMC; Engormix-IMC,Comedor de fondo; recicla materia organica del sedimento.
kalbasu,Labeo calbasu,kalbasu,carpa,"Carpa india de fondo; detritivora/omnivora, complementa a mrigal en el estrato bentonico.",detritivoro,fondo,18,34,6.5,8.5,4.0,dulce,0.4,1000,11,2.4,detrito; perifiton,1,2.0,P,GlobalSeafood-IMC,Datos parcialmente verificados.
silver_barb,Barbonymus gonionotus,barbo plateado / silver barb,carpa,"Ciprinido omnivoro de columna; tolera densidad alta, usado en policultivos asiaticos.",omnivoro,columna,22,33,6.5,8.5,3.0,dulce,1.0,300,6,1.8,omnivoro; balanceado; vegetal,2,2.0,P,FishBase,Componente adicional de columna.
tilapia_nilo,Oreochromis niloticus,tilapia del Nilo,tilapia,"Omnivora rustica de toda la columna; base de la acuicultura tropical, alta productividad.",omnivoro,toda_la_columna,14,38,6.0,9.0,3.0,eurihalino,3.0,500,6,1.6,fitoplancton; perifiton; balanceado 28-32%,3,3.0,V,MWEA-tilapia; FAO-tilapia,Optimo 25-30 C; letal <11-12 C y >42 C. OD>5 ideal. Tolera salobre.
tilapia_mozambique,Oreochromis mossambicus,tilapia de Mozambique,tilapia,Tilapia eurihalina muy rustica; tolera aguas salobres y baja calidad.,omnivoro,toda_la_columna,15,38,6.0,9.0,2.5,eurihalino,3.0,400,7,1.8,detrito; fitoplancton; balanceado,2,2.5,P,FishBase-Omossambicus,Mas tolerante a salinidad; menor crecimiento que niloticus.
tilapia_roja,Oreochromis sp. (hibrido),tilapia roja,tilapia,"Hibrido comercial de coloracion roja; omnivoro, buena aceptacion de mercado.",omnivoro,toda_la_columna,16,36,6.0,9.0,3.0,eurihalino,3.0,500,6,1.6,balanceado 28-32%; perifiton,3,3.2,P,Engormix-tilapia,Hibrido (mossambicus x niloticus u otros); parametros estimados por analogia.
tilapia_azul,Oreochromis aureus,tilapia azul,tilapia,Tilapia mas tolerante al frio; util en zonas subtropicales y de altura moderada.,omnivoro,toda_la_columna,12,37,6.0,9.0,3.0,eurihalino,3.0,450,7,1.7,fitoplancton; balanceado,2,2.8,P,FishBase-Oaureus,Tolera ~8-9 C mejor que niloticus.
cachama_negra,Colossoma macropomum,cachama negra / tambaqui / gamitana,caracido,"Caracido neotropical omnivoro/frugivoro de columna; rustico, soporta alta densidad.",omnivoro,columna,23,34,5.5,9.0,2.0,dulce,1.5,1000,9,1.9,frutos; semillas; zooplancton; balanceado,3,2.8,V,FAO-cachama; SciELO-cachama,pH ideal 6-7.5 (tolera 9). 1-3 ind/m2 semi-intensivo; tolera bajo OD.
cachama_blanca,Piaractus brachypomus,cachama blanca / pacu / pirapitinga / morocoto,caracido,"Caracido omnivoro de columna; docil y rustico, cuenca Amazonas-Orinoco.",omnivoro,columna,23,34,5.5,8.5,2.5,dulce,2.0,900,8,1.9,frutos; omnivoro; balanceado,3,2.6,V,Animalia-Pbrachypomus; SciELO-pacu,4-10 ind/m3 segun sistema; habito omnivoro.
pacu_mesopotamico,Piaractus mesopotamicus,pacu,caracido,"Pacu de la cuenca del Plata; omnivoro de columna, frugivoro estacional.",omnivoro,columna,18,32,5.5,8.5,2.5,dulce,1.5,1200,12,2.0,frutos; zooplancton; balanceado,2,2.6,P,FishBase-Pmesopotamicus,Mas tolerante a frio que las cachamas amazonicas.
tambacu,Colossoma macropomum x Piaractus mesopotamicus,tambacu (hibrido),caracido,Hibrido cachama-pacu de rapido crecimiento y rusticidad; omnivoro de columna.,omnivoro,columna,22,34,5.5,8.5,2.0,dulce,1.5,1100,9,1.9,frutos; balanceado; zooplancton,3,2.6,P,EMBRAPA-tambacu,Vigor hibrido; parametros por analogia a parentales.
bocachico,Prochilodus magdalenae,bocachico,nativo,Pez iliofago/detritivoro de fondo endemico de Colombia; limpia el sedimento del estanque.,iliofago,fondo,24,32,6.0,8.5,3.0,dulce,0.7,400,8,2.5,detrito; barro organico; perifiton,1,2.5,V,SciELO-bocachico; ResearchGate-bocachico,<1 ind/m2 recomendado; excelente complemento de fondo en policultivo.
sabalo,Prochilodus lineatus,sabalo,nativo,Detritivoro de fondo de la cuenca del Plata; recicla materia organica del sedimento.,detritivoro,fondo,18,30,6.0,8.5,3.0,dulce,0.7,800,10,2.6,detrito; perifiton de fondo,1,2.0,P,FishBase-Plineatus,Equivalente austral del bocachico.
boquichico,Prochilodus nigricans,boquichico,nativo,Detritivoro/iliofago amazonico de fondo; importante en piscicultura rural amazonica.,iliofago,fondo,23,32,6.0,8.0,3.0,dulce,0.7,500,9,2.5,detrito; barro; perifiton,1,2.2,P,IIAP-boquichico,Comedor de fondo; bajo costo de alimentacion.
yamu,Brycon amazonicus,yamu / matrincha,nativo,"Caracido omnivoro/frugivoro de columna; activo nadador, carne apreciada.",omnivoro,columna,23,30,6.0,8.0,4.0,dulce,1.0,800,10,2.0,frutos; insectos; balanceado,2,3.0,P,IIAP-yamu,Requiere mayor OD; omnivoro con tendencia frugivora.
bagre_africano,Clarias gariepinus,bagre africano / claria,bagre,Bagre omnivoro de fondo con respiracion aerea; tolera hipoxia extrema y alta densidad.,omnivoro,fondo,8,35,5.0,9.0,1.0,dulce,15.0,700,5,1.4,omnivoro; carnea; balanceado; residuos,3,2.5,V,ResearchGate-Clarias; ARC-catfish,"Optimo ~30 C; respira aire, tolera OD<1 mg/L; hasta 100-200 kg/m3 con manejo."
pangasius,Pangasianodon hypophthalmus,pangasius / panga,bagre,"Bagre omnivoro de columna-fondo; crecimiento rapido, tolera densidades altas.",omnivoro,columna,22,32,6.5,8.0,2.0,dulce,8.0,1200,7,1.6,omnivoro; balanceado,3,1.8,V,ResearchSquare-pangas; Academia-pangas,OD min ~2 (accesoria aerea); densidades 30-110 ind/m3.
bagre_canal,Ictalurus punctatus,bagre de canal,bagre,"Bagre omnivoro/carnivoro de fondo; estandar en EE.UU., usado en policultivo con camaron.",omnivoro,fondo,10,32,6.0,9.0,3.0,dulce,5.0,700,8,1.7,omnivoro; balanceado; bentos,2,2.5,V,SRAC-catfish; FishBase,Polycultivo documentado con Macrobrachium. Optimo 26-30 C.
surubi,Pseudoplatystoma fasciatum,surubi / bagre rayado,bagre,"Gran bagre carnivoro de fondo; piscivoro, requiere presas o adaptacion a balanceado.",carnivoro,fondo,22,30,6.0,8.0,4.0,dulce,1.0,3000,14,2.8,peces; balanceado alto en proteina,1,4.5,P,FishBase-Pseudoplatystoma,Depreda peces pequenos; cultivo especializado.
rhamdia,Rhamdia quelen,bagre sapo / barbudo,bagre,Bagre nativo sudamericano omnivoro/carnivoro de fondo; rustico y de aguas templadas.,carnivoro,fondo,15,30,6.0,8.5,3.0,dulce,5.0,500,8,1.8,omnivoro; bentos; balanceado,2,2.8,P,FishBase-Rhamdia,Tolera aguas mas frescas; depreda alevines.
paiche,Arapaima gigas,paiche / pirarucu,nativo,Pez carnivoro gigante con respiracion aerea obligatoria; alto valor de mercado.,carnivoro,toda_la_columna,24,33,5.5,7.5,1.5,dulce,1.0,9000,12,5.0,peces; balanceado >40% proteina,2,10.0,V,IIAP-paiche; IMARPE-paiche,Optimo 28-32 C; respira aire (tolera OD~4 o menos). Depreda peces pequenos.
tucunare,Cichla ocellaris,tucunare / pavon,nativo,"Cichlido carnivoro de columna; piscivoro agresivo, controla peces pequenos.",carnivoro,columna,24,32,6.5,7.5,4.0,dulce,1.0,1200,12,2.5,peces; balanceado alto proteina,1,5.0,P,Fishipedia-Cichla; FishBase,Depreda alevines y peces pequenos; territorial.
trucha_arcoiris,Oncorhynchus mykiss,trucha arcoiris,otro,Salmonido carnivoro de aguas frias de altura; nicho termico opuesto a especies tropicales.,carnivoro,columna,9,20,6.5,8.0,5.0,dulce,15.0,300,9,1.2,balanceado alto en proteina,3,5.0,V,FAO-trout; FishBase-mykiss,Agua fria (<20 C); para sitios de altura. Incompatible termicamente con tropicales.
gurami_gigante,Osphronemus goramy,gurami gigante,otro,Pez de columna herbivoro/omnivoro con respiracion aerea (laberinto); tolera baja calidad.,herbivoro,columna,20,32,6.5,8.0,1.5,dulce,2.0,1500,14,2.2,plantas; frutos; balanceado,2,3.0,P,FishBase-Osphronemus,Organo laberintico: tolera hipoxia. Crecimiento lento.
camaron_gigante,Macrobrachium rosenbergii,camaron gigante de Malasia / langostino,crustaceo,Crustaceo omnivoro/detritivoro de fondo; nicho bentonico ideal para policultivo con peces.,detritivoro,fondo,24,34,7.0,8.5,3.0,dulce,4.0,40,7,2.5,detrito; bentos; balanceado,2,8.0,V,SRAC-prawn; ScienceDirect-prawn,Optimo 28-32 C; territorial entre machos. Policultivo con tilapia y carpas.
langostino_amazonico,Macrobrachium amazonicum,langostino amazonico,crustaceo,"Langostino nativo de menor talla; omnivoro bentonico, tolera densidades altas.",omnivoro,fondo,24,32,6.5,8.0,3.0,dulce,5.0,20,6,2.6,detrito; bentos; balanceado,1,6.0,P,FishBase-Mamazonicum,Talla menor que rosenbergii; nativo sudamericano.
camaron_vannamei,Penaeus vannamei,camaron blanco,crustaceo,Camaron peneido eurihalino cultivable en baja salinidad; bentonico omnivoro de alta densidad.,omnivoro,fondo,23,33,7.0,9.0,3.5,eurihalino,30.0,20,4,1.5,detrito; bentos; balanceado peneido,3,7.0,P,FAO-vannamei,Cultivable en agua dulce/baja salinidad aclimatado; alta densidad.
pejelagarto,Atractosteus tropicus,pejelagarto,nativo,Gar tropical carnivoro con respiracion aerea; cultivado en el sureste de Mexico.,carnivoro,toda_la_columna,24,34,6.5,8.0,2.0,dulce,2.0,800,9,2.5,peces; carnea; balanceado,1,4.0,P,FishBase-Atractosteus,Respira aire; depreda peces. Cultivo regional (Tabasco).
lisa_mugil,Mugil cephalus,lisa / liseta,otro,Pez eurihalino detritivoro/iliofago de fondo; usado en policultivo costero salobre.,detritivoro,fondo,18,32,6.5,9.0,3.0,eurihalino,1.0,800,12,2.4,detrito; perifiton; microalgas,1,2.5,P,FishBase-Mcephalus,Para estanques salobres; comedor de fondo.
pejerrey,Odontesthes bonariensis,pejerrey,otro,Pez planctivoro/carnivoro de columna de aguas templadas-frias; cultivo andino y pampeano.,carnivoro,columna,10,24,7.0,9.0,5.0,dulce,5.0,250,12,2.0,zooplancton; insectos; peces pequenos,1,4.0,P,FishBase-Obonariensis,Agua templada-fria (<24 C); para sitios de altura.
carpa_dorada,Carassius auratus,carpa dorada / goldfish,carpa,"Ciprinido omnivoro de fondo, muy rustico; ornamental o forrajero/control.",omnivoro,fondo,4,32,6.0,9.0,2.0,dulce,1.0,300,10,2.3,omnivoro; detrito; balanceado,0,3.0,P,FishBase-Cauratus,Muy tolerante; uso ornamental o forraje.
matrinxa,Brycon cephalus,matrinxa,nativo,"Caracido amazonico omnivoro de columna; carne apreciada, requiere buena oxigenacion.",omnivoro,columna,23,30,6.0,8.0,4.0,dulce,1.5,900,10,2.0,frutos; insectos; balanceado,2,3.0,E,FishBase-Brycon,Cercano a yamu; parametros estimados por analogia.
