id,nombre_cientifico,nombre_comun,grupo,raza_tipo,descripcion_breve,clima_tol,temp_min_c,temp_max_c,nicho,estrato,densidad_carga,unidad_carga,espacio_min_m2,consumo_alimento_kg_dia,agua_l_dia,aporte_principal,estiercol_kg_dia,producto,rendimiento_rel,valor_mercado,verificacion,fuente,notas
gallina_ponedora,Gallus gallus domesticus,Gallina ponedora comercial,ave,Hy-Line/ISA Brown,Ave de postura intensiva seleccionada para alto rendimiento de huevo; sensible al calor; requiere ventilacion en tropicos,tropical_humedo; sensible_calor,10,38,forrajeo_suelo,suelo,7,aves_por_m2,0.14,0.12,0.3,estiercol,0.15,huevo,3,medio (0.10-0.15 usd/huevo),V,FAO-housing; livestocking.net; pmc6617375,Reduce postura >32C; ventilacion critica en tropico
pollo_engorde,Gallus gallus domesticus,Pollo de engorde comercial,ave,Ross 308/Cobb 500,Broiler de ciclo rapido (6-7 sem); alto potencial carnico; sensible a calor en tropicos,tropical; semi-arido_subtropical,10,38,forrajeo_suelo,suelo,10,aves_por_m2,0.1,0.15,0.35,estiercol,0.12,carne,3,alto (1.5-2.5 usd/kg canal),V,thepoultrysite; pmc9560488; livestocking.net,0.09-0.1 m2/ave en tropico segun pmc9560488
gallina_criolla,Gallus gallus domesticus,Gallina criolla/traspatio,ave,Criollo/ecotipo local,Gallina de doble proposito (carne/huevo) de alto vigor hibrido; adaptada al pastoreo libre; resistente a enfermedades tropicales,tropical_humedo; tropical_seco; alta_tolerancia,10,42,forrajeo_suelo,suelo,3,aves_por_m2,0.5,0.07,0.2,estiercol;control_plagas,0.1,carne;huevo,1,alto cualitativo (mercado nicho),P,lrrd-CIPAV; tandf-2023; FAO-family-poultry,Menor postura (~80-120 huevos/año); mayor rusticicidad; alta demanda en mercados locales
pavo,Meleagris gallopavo,Pavo,ave,Pavo criollo/Bronze,Ave omnivora de gran tamano; forrajea en pastizales; demanda alto contenido proteico en dieta; relativamente rustico,tropical_seco; subtropical,5,40,forrajeo_suelo,suelo,2,aves_por_m2,3.0,0.45,0.6,estiercol,0.35,carne,2,alto (3-5 usd/kg vivo),P,almanac-raising-turkeys; PSU-extension; attra.ncat.org,Hembra consume ~0.23 kg/dia; macho ~0.45 kg/dia; requiere ~1 m2/ave en confinamiento
pato_pekin,Anas platyrhynchos domesticus,Pato Pekin,ave,Pato Pekin blanco,Pato carnico de rapido crecimiento; tolera humedad y agua; produce buen estiercol; mas eficiente en agua que gansos,tropical_humedo; subtropical,5,38,forrajeo_suelo,suelo,4,aves_por_m2,0.27,0.18,1.0,estiercol,0.2,carne,3,medio (2-3 usd/kg),V,FAO-y4359e; agrodok33-tropics; cornell-duck,0.09 m2/ave en agua; necesita acceso a agua para nado (opcional en confinamiento)
pato_criollo,Cairina moschata,Pato criollo/Muscovy,ave,Criollo (Moscovita),Pato nativo de America tropical; carne magra y oscura; alta tolerancia a calor y humedad; excelente madre; control de insectos en pastizal,tropical_humedo; muy_alta_tolerancia_calor,10,42,forrajeo_suelo,suelo,3,aves_por_m2,0.5,0.12,0.4,estiercol;control_plagas,0.15,carne;huevo,2,alto cualitativo,V,springer2007-congo; researchgate-muscovy; a-z-animals,~14.6 huevos/nidada; 2 nidadas/año; muy adaptada a sistemas de traspatio tropical
ganso,Anser anser domesticus,Ganso doméstico,ave,Embden/Toulouse/local,Ave herbivora eficiente; controla malezas; produce carne y plumas; requiere acceso a pasto fresco; tolera calor en razas locales,tropical_humedo; subtropical,5,40,forrajeo_suelo,suelo,0.04,aves_por_m2,5.0,0.7,1.5,estiercol;control_malezas,0.5,carne,1,medio,P,FAO-y4359e; springer-waterfowl; featheredfarmlife,1 ha soporta 20-40 gansos segun calidad de pastizal; util para desmalezar entre cultivos
codorniz,Coturnix coturnix japonica,Codorniz japonesa,ave,Coturnix,Ave de postura y carne de ciclo muy corto (6 sem a postura); alta densidad; bajo consumo; muy eficiente en espacio; bien tolerada en calor moderado,tropical; subtropical,10,38,forrajeo_suelo,confinado,80,aves_por_m2,0.015,0.025,0.05,estiercol,0.02,huevo;carne,3,medio-alto (0.03-0.05 usd/huevo),V,PMC10113653; springer-density; echocommunity-quail,150-200 cm2/ave jaula; postura afectada >35C
pintada_guinea,Numida meleagris,Gallina de guinea/pintada,ave,Tipo africano/local,Ave nativa africana aclimatada en tropico americano; excelente control de insectos y garrapatas; forrajea en pastizales con ganado; carne magra,tropical_seco; tropical_humedo,10,42,forrajeo_suelo,suelo,3,aves_por_m2,1.0,0.1,0.25,estiercol;control_plagas,0.1,carne,1,medio-alto (mercado nicho),P,springer-guinea-fowl; naerls-nigeria; britannica-guinea-fowl,Muy ruidosa; tiende a vagar; util en sistemas silvopastoriles para control de insectos
vaca_lechera_holstein,Bos taurus taurus,Vaca lechera Holstein,rumiante,Holstein-Friesian,Raza europea de alta produccion lactea; muy sensible al calor tropical; requiere instalaciones con sombra y ventilacion para mantener produccion,subtropical; templado_calido,5,30,pastoreo,pasto_bajo,1.2,UA_por_ha,50.0,15.0,80.0,estiercol,25.0,leche,3,alto (0.35-0.50 usd/L),V,FAO-GLEAM; scielo-heat-stress; frontiersin-heat-2023,Produccion cae >32C; ingesta cae 40% a 40C; no recomendada >tropico calido sin enfriamiento
vaca_lechera_girolando,Bos taurus x Bos indicus,Vaca lechera Girolando,rumiante,Girolando (Holstein x Gyr),Cruce tropical predominante en Brasil (5/8 H x 3/8 Gyr); combina produccion lactea con adaptacion tropical; mas rustica que Holstein pura,tropical_humedo; tropical_seco,10,38,pastoreo,pasto_bajo,1.0,UA_por_ha,50.0,14.0,65.0,estiercol,22.0,leche,3,alto (0.30-0.45 usd/L),V,tandfonline-girolando; scielo-heat-stress; EMBRAPA-girolando,80% de la leche tropical brasilena; superior adaptacion a parasitos y calor que Holstein pura
vaca_carne_cebu,Bos taurus indicus,Vaca/toro carne cebú,rumiante,Brahman/Nellore,Bovino Bos indicus adaptado al tropico; tolerante al calor (hasta 50C); resistente a garrapatas; eficiente en forrajes groseros; base de ganaderia tropical latinoamericana,tropical_humedo; tropical_seco; muy_alta_tolerancia,15,45,pastoreo,pasto_bajo,0.8,UA_por_ha,100.0,10.0,40.0,estiercol,20.0,carne,2,medio (2.0-3.5 usd/kg),V,SciDirect-zebu; cattledaily-brahman; PMC11841269,UA estándar = 450 kg; carga segun calidad de pastizal (0.5-2 UA/ha)
bufalo_agua,Bubalus bubalis,Búfalo de agua,rumiante,Bubalus (tipo rio/pantano),Rumiante adaptado a humedales y zonas tropicales calidas; mayor eficiencia digestiva que bovinos; leche muy grasa; tolerante al calor si tiene acceso al agua,tropical_humedo; zonas_inundables,10,45,pastoreo,pasto_bajo,0.9,UA_por_ha,80.0,12.0,50.0,estiercol,25.0,leche;carne;traccion,2,medio-alto (leche 0.40 usd/L),V,PMC8909038; PMC10079919; PMC7150070,Necesita acceso a bañaderos/charcos para termoregulacion; excelente en tierras bajas inundables
oveja_pelibuey,Ovis aries,Oveja de pelo Pelibuey,rumiante,Pelibuey,Ovino de pelo tropical; sin lana; resistente al calor humedad y parasitos gastrointestinales; carne de sabor suave; cria bien bajo pastoreo extensivo,tropical_humedo; tropical_seco; muy_alta_tolerancia,10,42,pastoreo,pasto_bajo,5.0,UA_por_ha,5.0,1.2,3.5,estiercol,1.2,carne,2,medio (2.5-4.0 usd/kg),V,sciencedirect-pelibuey; roysfarm-pelibuey; pubmed-pelibuey,Peso adulto 34-54 kg; tolerante a parasitos gastroentéricos mejor que razas lanosas
cabra_criolla,Capra hircus,Cabra criolla tropical,rumiante,Criolla/local,Caprino rustico de doble proposito; excelente ramoneador de arbustos y matorrales; complementa bovinos en estrato arbustivo; muy tolerante a calor y escasez de agua,tropical_seco; semi_arido; alta_tolerancia,5,45,ramoneo,arbustivo_ramoneo,7.0,UA_por_ha,4.0,1.0,3.5,estiercol;control_malezas,1.0,leche;carne,2,medio,V,UF-IFAS-goat; springer-dairy-goat; sciencedirect-goat-LA,5-10 aves equivalen a 1 UA; ramonea arbustos que bovinos no consumen; complementariedad de nicho
cerdo_tropical,Sus scrofa domesticus,Cerdo tropical,monogastrico,Criollo/Mestizo tropical,Omnivoro eficiente; reciclador de residuos organicos; carne valorada; requiere manejo sanitario estricto; riesgo de influenza con aves,tropical_humedo; tropical_seco,10,38,omnivoro_traspatio,suelo,1.5,m2_por_animal,2.0,2.5,8.0,estiercol;reciclaje_residuos,3.5,carne,3,alto (2.5-4.5 usd/kg),V,FAO-pig-tropics; PMC11016694; FAO-housing-pig,Espacio 1.5-2.5 m2/animal en confinamiento; riesgo zoonotico con aves (influenza)
cuy_cobayo,Cavia porcellus,Cuy/cobayo,monogastrico,Raza mejorada Peru/ecotipo local,Roedor domestico herbivoro; alta eficiencia alimenticia; fuente proteica en sistemas familiares andinos; ciclo reproductivo muy rapido,subtropical_andino; tropical_humedo,10,30,herbivoro_jaula,confinado,20,cuyes_por_m2,0.05,0.08,0.08,estiercol;reciclaje_residuos,0.03,carne,2,medio-alto (mercado local andino),V,sciencedirect-guinea-pig; cambridge-welfare; tandfonline-food-security,Peso adulto 0.8-1.5 kg; camada 2-4 crias; muy eficiente en sistemas familiares andinos (Peru Bolivia Ecuador)
conejo,Oryctolagus cuniculus,Conejo doméstico,monogastrico,Nueva Zelanda/local,Herbivoro eficiente; ciclo corto; produce carne magra y estiercol rico en nitrogeno; adaptable a jaulas en traspatio tropical con ventilacion,tropical_humedo; subtropical,10,35,herbivoro_jaula,confinado,4,conejos_por_m2,0.5,0.25,0.2,estiercol,0.15,carne,2,medio (3-5 usd/kg),V,FAO-rabbit; ATTRA-rabbit; ECHO-tropical-rabbit,Temperatura critica >30C; jaula 0.5-1 m2/animal; mortalidad alta si supera 35C
caballo,Equus caballus,Caballo de trabajo,otro,Criollo latinoamericano,Equino de traccion y trabajo en finca; consume forraje de calidad media-alta; produce estiercol util; puede competir con rumiantes por pastizal,tropical; subtropical,5,42,pastoreo,pasto_bajo,0.8,UA_por_ha,200.0,8.0,30.0,estiercol;traccion,15.0,traccion,1,alto (servicio),P,permaculture-brazil; FAO-equine; lrrd-donkey,Peso ~450-550 kg; 1 UA = 450 kg (referencia); menos eficiente en pasto que rumiantes
burro,Equus asinus,Burro/asno de trabajo,otro,Criollo tropical,Equino de traccion mas eficiente que caballo en terrenos marginales; menor consumo de forraje y agua; muy resistente; util en fincas de laderas,tropical_seco; semi_arido; muy_alta_tolerancia,5,45,pastoreo,pasto_bajo,0.6,UA_por_ha,100.0,3.0,9.0,estiercol;traccion,8.0,traccion,1,medio (servicio),V,lrrd-donkey-feeding; SciDirect-donkey-nutrition; veterian-key,Peso 200-300 kg; consume 1.5% BW/dia vs 3.1% en caballos; agua 9% BW/dia en calor
abeja_melif,Apis mellifera,Abeja melífera occidental,polinizador,Africanizada/local,Abeja mielera dominante en tropicos latinoamericanos; alta produccion de miel; polinizacion critica para cultivos; la africana tolera muy bien el calor,tropical_humedo; tropical_seco; alta_tolerancia,5,45,aereo_polinizador,aereo,5,colmenas_por_ha,0.01,0.1,0.02,polinizacion,0.001,miel,3,alto (3-8 usd/kg miel),V,PMC10568204; PMC11066017; INTA-apicultura,Densidad silvestre ~6.7 colonias/km2 en LA; manejada ~5 colmenas/ha en apiario; polinizacion principal servicio ecosistemico
abeja_stingless,Meliponini spp.,Abeja sin aguijón/meliponas,polinizador,Trigona/Melipona/local,Abejas nativas neotropicales; miel de alto valor terapeutico; menor produccion de miel que Apis; polinizadoras eficientes de cultivos especificos; zero riesgo de picadura,tropical_humedo; muy_alta_tolerancia,15,40,aereo_polinizador,aereo,3,colmenas_por_ha,0.005,0.05,0.01,polinizacion,0.0005,miel,1,muy_alto (10-30 usd/kg miel),P,annualreviews-meliponini; britannica-stingless; PMC11066017,>600 especies Neotropicales; miel de valor medicinal premium; mercado nicho creciente en LA
lombriz_eisenia,Eisenia fetida,Lombriz roja californiana,otro,Eisenia fetida,Anelido detritivoro; convierte estiercol de cerdo aves bovinos en vermicompost de alta calidad; biomasa proteica para pienso; integra perfectamente en circuito de reciclaje,tropical_humedo; subtropical,10,35,omnivoro_traspatio,suelo,0.5,kg_lombrices_por_m2,0.01,0.5,0.1,reciclaje_residuos,0.0,humus,2,alto (vermicompost 0.15-0.30 usd/kg),P,springer-eisenia; FAO-composting; oregonstate-worm,Consumen 50% BW/dia en residuos organicos; producen ~0.5 kg humus/kg residuo; no requiere pastizal
tilapia_integrada,Oreochromis niloticus,Tilapia (referencia acoplamiento),otro,Tilapia del Nilo,Pez de agua dulce en estanques integrados con patos o cerdos; recibe estiercol como fertilizante de fitoplancton; cierre del ciclo de nutrientes en fincas con agua,tropical_humedo,20,38,omnivoro_traspatio,confinado,5.0,peces_por_m2,0.01,0.02,10.0,reciclaje_residuos,0.002,carne,3,medio (2-4 usd/kg),V,sciencedirect-tilapia; scialert-rice-fish; lrrd-tilapia,Solo referencia de acoplamiento; produccion en estanque fertilizado con estiercol de patos/cerdos; rinde 30-40% mas con aves integradas
